"processing_end_time","processing_start_time","message_arrived","diff","message_sent"
"1557687274.849279","1557687274.455989","1557687274.876116","0.4922161102294922","1557687274.3839"
"1557687275.794162","1557687275.446327","1557687275.83008","0.43182802200317383","1557687275.398252"
"1557687276.880849","1557687276.461762","1557687276.907085","0.494143009185791","1557687276.412942"
"1557687277.843374","1557687277.468696","1557687277.871263","0.4443089962005615","1557687277.426954"
"1557687278.833109","1557687278.483392","1557687278.860304","0.4190070629119873","1557687278.441297"
"1557687279.911965","1557687279.496454","1557687279.937478","0.4825880527496338","1557687279.45489"
"1557687280.898025","1557687280.514857","1557687280.926914","0.45883703231811523","1557687280.468077"
"1557687281.872872","1557687281.522305","1557687281.898646","0.41521120071411133","1557687281.483435"
"1557687282.941016","1557687282.546553","1557687282.969138","0.4705808162689209","1557687282.498557"
"1557687283.906667","1557687283.556711","1557687283.932255","0.41881799697875977","1557687283.513437"
"1557687284.91604","1557687284.565689","1557687284.995388","0.46965909004211426","1557687284.525729"
"1557687285.99488","1557687285.590697","1557687286.020125","0.4798848628997803","1557687285.54024"
"1557687286.949873","1557687286.60007","1557687286.978125","0.42371106147766113","1557687286.554414"
"1557687287.962134","1557687287.613291","1557687287.988242","0.4199519157409668","1557687287.56829"
"1557687289.018648","1557687288.620958","1557687289.046086","0.46216797828674316","1557687288.583918"
"1557687289.984428","1557687289.636199","1557687290.011436","0.4139680862426758","1557687289.597468"
"1557687291.098957","1557687290.651207","1557687291.126699","0.5153858661651611","1557687290.611313"
"1557687292.060265","1557687291.694505","1557687292.121522","0.4962809085845947","1557687291.625241"
"1557687293.384591","1557687292.988041","1557687293.522659","0.8820230960845947","1557687292.640636"
"1557687294.219958","1557687293.869028","1557687294.248653","0.5930969715118408","1557687293.655556"
"1557687295.252386","1557687294.907702","1557687295.277462","0.6081900596618652","1557687294.669272"
"1557687296.082225","1557687295.728158","1557687296.107834","0.42443013191223145","1557687295.683404"
"1557687297.149374","1557687296.75461","1557687297.177682","0.48276782035827637","1557687296.694914"
"1557687298.103771","1557687297.752831","1557687298.128942","0.42139291763305664","1557687297.707549"
"1557687299.110582","1557687298.758446","1557687299.137251","0.4153478145599365","1557687298.721903"
"1557687300.174912","1557687299.771261","1557687300.199609","0.4631490707397461","1557687299.73646"
"1557687301.18193","1557687300.799814","1557687301.208669","0.45694804191589355","1557687300.751721"
"1557687302.188057","1557687301.816244","1557687302.215529","0.44803786277770996","1557687301.767491"
"1557687303.222705","1557687302.831056","1557687303.248522","0.4641690254211426","1557687302.784353"
"1557687304.194908","1557687303.843579","1557687304.219348","0.4217689037322998","1557687303.797579"
"1557687305.200383","1557687304.849761","1557687305.270909","0.4571201801300049","1557687304.813789"
"1557687306.274877","1557687305.882138","1557687306.30149","0.4751160144805908","1557687305.826374"
"1557687307.230347","1557687306.878182","1557687307.25798","0.4180881977081299","1557687306.839892"
"1557687308.27486","1557687307.898814","1557687308.301202","0.4478721618652344","1557687307.85333"
"1557687309.303912","1557687308.907505","1557687309.329108","0.4623699188232422","1557687308.866738"
"1557687310.273208","1557687309.925326","1557687310.300011","0.41719698905944824","1557687309.882814"
"1557687311.33584","1557687310.939867","1557687311.360978","0.46392083168029785","1557687310.897057"
"1557687312.356643","1557687311.957499","1557687312.38312","0.4734370708465576","1557687311.909683"
"1557687313.527261","1557687313.153234","1557687313.554358","0.6324219703674316","1557687312.921936"
"1557687314.335486","1557687313.990995","1557687314.36257","0.42713093757629395","1557687313.935439"
"1557687315.401708","1557687315.00102","1557687315.426717","0.478222131729126","1557687314.948495"
"1557687316.348167","1557687316.002203","1557687316.373814","0.4150550365447998","1557687315.958759"
"1557687317.418403","1557687317.021459","1557687317.443803","0.4734630584716797","1557687316.97034"
"1557687318.419582","1557687318.026034","1557687318.445676","0.4609529972076416","1557687317.984723"
"1557687319.382968","1557687319.03752","1557687319.40655","0.40956902503967285","1557687318.996981"
"1557687320.394432","1557687320.051626","1557687320.41959","0.4079630374908447","1557687320.011627"
"1557687321.46022","1557687321.066559","1557687321.487163","0.46079015731811523","1557687321.026373"
"1557687322.44324","1557687322.090533","1557687322.472316","0.4323890209197998","1557687322.039927"
"1557687323.479886","1557687323.095202","1557687323.605021","0.5501580238342285","1557687323.054863"
"1557687324.514968","1557687324.110697","1557687324.541647","0.47537899017333984","1557687324.066268"
"1557687325.462804","1557687325.113541","1557687325.48813","0.4115622043609619","1557687325.076568"
"1557687326.469854","1557687326.12271","1557687326.498361","0.4126460552215576","1557687326.085715"
"1557687327.572789","1557687327.153556","1557687327.60734","0.5113351345062256","1557687327.096005"
"1557687328.504764","1557687328.158127","1557687328.530067","0.4178199768066406","1557687328.112247"
"1557687329.512448","1557687329.168966","1557687329.538702","0.41090893745422363","1557687329.127793"
"1557687330.572164","1557687330.177707","1557687330.596792","0.453934907913208","1557687330.142857"
"1557687331.549186","1557687331.201186","1557687331.574986","0.4197349548339844","1557687331.155251"
"1557687332.64899","1557687332.22729","1557687332.676094","0.5081980228424072","1557687332.167896"
"1557687333.5922","1557687333.245921","1557687333.614949","0.4320259094238281","1557687333.182923"
"1557687334.597928","1557687334.251549","1557687334.622951","0.42598509788513184","1557687334.196966"
"1557687335.641125","1557687335.247032","1557687335.783822","0.5720059871673584","1557687335.211816"
"1557687336.62016","1557687336.271072","1557687336.647679","0.4223752021789551","1557687336.225304"
"1557687337.623035","1557687337.278335","1557687337.649851","0.41120219230651855","1557687337.238649"
"1557687338.7085","1557687338.29253","1557687338.733049","0.4800448417663574","1557687338.253004"
"1557687339.693364","1557687339.304479","1557687339.720761","0.4542820453643799","1557687339.266479"
"1557687340.712293","1557687340.334795","1557687340.739033","0.4571700096130371","1557687340.281863"
"1557687341.764966","1557687341.343846","1557687341.787415","0.49121809005737305","1557687341.296197"
"1557687342.769285","1557687342.406076","1557687342.79789","0.48860788345336914","1557687342.309282"
"1557687343.73931","1557687343.370408","1557687343.765473","0.44173479080200195","1557687343.323738"
"1557687344.732213","1557687344.38206","1557687344.758849","0.42079591751098633","1557687344.338053"
"1557687345.774678","1557687345.399618","1557687345.800715","0.44667601585388184","1557687345.354039"
"1557687346.80326","1557687346.407845","1557687346.829434","0.46162986755371094","1557687346.367804"
"1557687347.77236","1557687347.421139","1557687347.79829","0.41603708267211914","1557687347.382253"
"1557687348.849563","1557687348.439208","1557687348.877424","0.48195910453796387","1557687348.395465"
