,message_arrived,message_sent,processing_start_time,processing_end_time,processing_delay,network_delay,overall_delay
321,1557911547.6231012,1557911547.357314,1557911547.660028,1557911548.000626,0.34059810638427734,0.26578712463378906,0.6063852310180664
322,1557911548.4125836,1557911548.3623154,1557911548.453849,1557911548.845949,0.39209985733032227,0.05026817321777344,0.4423680305480957
323,1557911549.4564998,1557911549.3674138,1557911549.55343,1557911549.887343,0.33391284942626953,0.08908605575561523,0.42299890518188477
324,1557911550.4963484,1557911550.3732069,1557911550.532556,1557911550.867282,0.33472585678100586,0.12314152717590332,0.4578673839569092
325,1557911551.4274495,1557911551.377812,1557911551.469187,1557911551.867477,0.39828991889953613,0.049637556076049805,0.44792747497558594
326,1557911552.5279212,1557911552.3843145,1557911552.5661778,1557911553.010423,0.4442451000213623,0.14360666275024414,0.5878517627716064
327,1557911553.4393635,1557911553.3904624,1557911553.69362,1557911554.042141,0.34852099418640137,0.04890108108520508,0.39742207527160645
328,1557911554.5147636,1557911554.3939672,1557911554.554353,1557911554.9483962,0.3940432071685791,0.12079644203186035,0.5148396492004395
329,1557911555.4978807,1557911555.397726,1557911555.539998,1557911555.898663,0.35866498947143555,0.10015463829040527,0.4588196277618408
330,1557911556.454802,1557911556.4017832,1557911556.498108,1557911556.8309472,0.3328392505645752,0.053018808364868164,0.38585805892944336
331,1557911557.6046062,1557911557.4074948,1557911557.642174,1557911558.025318,0.38314390182495117,0.1971113681793213,0.5802552700042725
332,1557911558.4735026,1557911558.4127786,1557911558.510574,1557911558.8440962,0.33352208137512207,0.06072402000427246,0.39424610137939453
333,1557911559.5434408,1557911559.4176726,1557911559.583955,1557911559.916204,0.3322489261627197,0.12576818466186523,0.45801711082458496
334,1557911560.4798822,1557911560.4219556,1557911560.7369661,1557911561.072282,0.3353159427642822,0.05792665481567383,0.39324259757995605
335,1557911561.538559,1557911561.4249785,1557911561.578003,1557911561.967584,0.38958096504211426,0.11358046531677246,0.5031614303588867
